accident_date,發生日期,發生年度,發生月份,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
20230101,20230101,2023,1,140800,A1,雲林縣警察局,雲林縣崙背鄉五魁村雲11鄉道路燈桿225403號處,晴,日間自然光線,村里道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,撞路樹、電桿,駕駛人,逆向行駛,死亡1;受傷0,1,機車,普通重型,男,44,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,NA,NA,駕駛人,逆向行駛,否,120.322165,23.774017
20230102,20230102,2023,1,131700,A1,臺南市政府警察局,臺南市官田區社子里市道171線29.4公里處路段,雨,日間自然光線,縣道,50,單路部分,直路,其他,其他,柏油,濕潤,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,快慢車道分隔線,有,車與車,其他,駕駛人,酒醉(後)駕駛失控,死亡1;受傷1,2,機車,普通重型,男,21,戴安全帽或繫安全帶(使用幼童安全椅),不明,車的狀態,向前直行中,其他,不明,NA,NA,其他,不明原因肇事,否,120.352877,23.180791
20230102,20230102,2023,1,143000,A1,新北市政府警察局,新北市新店區新北市新店區北宜路3段與北宜路3段143697路燈旁,雨,日間自然光線,省道,40,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡1;受傷1,1,機車,普通重型,男,30,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,機車,右側車身,機車,右側車身,駕駛人,未注意車前狀態,否,121.567701,24.95164
20230102,20230102,2023,1,143000,A1,新北市政府警察局,新北市新店區新北市新店區北宜路3段與北宜路3段143697路燈旁,雨,日間自然光線,省道,40,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡1;受傷1,2,NA,NA,無或物(動物、堆置物),0,NA,NA,NA,NA,NA,NA,NA,NA,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.567701,24.95164
20230102,20230102,2023,1,143000,A1,新北市政府警察局,新北市新店區新北市新店區北宜路3段與北宜路3段143697路燈旁,雨,日間自然光線,省道,40,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡1;受傷1,3,人,乘客,女,29,戴安全帽或繫安全帶(使用幼童安全椅),未使用,人的狀態,不明,其他,不明,其他,不明,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.567701,24.95164
20230103,20230103,2023,1,143700,A1,高雄市政府警察局,高雄市鳥松區大昌路 / 高雄市鳥松區昌隆街,晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷1,1,機車,普通重型,男,54,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,右側車身,機車,右側車身,駕駛人,未依規定讓車,否,120.338083,22.657196
20230103,20230103,2023,1,143700,A1,高雄市政府警察局,高雄市鳥松區大昌路 / 高雄市鳥松區昌隆街,晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷1,2,小客車,自用,男,49,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,左前車頭(身),汽車,左前車頭(身),駕駛人,未依規定減速,否,120.338083,22.657196
20230103,20230103,2023,1,143700,A1,高雄市政府警察局,高雄市鳥松區大昌路 / 高雄市鳥松區昌隆街,晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷1,3,人,乘客,女,54,戴安全帽或繫安全帶(使用幼童安全椅),非駕駛人,人的狀態,其他,其他,非汽(機)車,其他,非汽(機)車,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.338083,22.657196
20230104,20230104,2023,1,061943,A1,南投縣政府警察局,南投縣南投市菓稟路11號前0.0公尺,晴,晨或暮光,村里道路,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,不良,其他,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,人與汽(機)車,同向通行中,駕駛人,未注意車前狀態,死亡1;受傷0,1,小貨車(含客、貨兩用),自用,男,62,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),NA,NA,駕駛人,未注意車前狀態,否,120.69513,23.899078
20230104,20230104,2023,1,061943,A1,南投縣政府警察局,南投縣南投市菓稟路11號前0.0公尺,晴,晨或暮光,村里道路,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,不良,其他,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,人與汽(機)車,同向通行中,駕駛人,未注意車前狀態,死亡1;受傷0,2,人,行人,女,65,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽(機)車,NA,NA,行人(或乘客),其他引起事故之疏失或行為,否,120.69513,23.899078
20230104,20230104,2023,1,164358,A1,桃園市政府警察局,桃園市中壢區崇德二路口 / 桃園市中壢區崇德三路口,晴,日間自然光線,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷2,1,小貨車(含客、貨兩用),自用,男,38,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),汽車,左前車頭(身),駕駛人,未依規定讓車,否,121.184786,24.996004
20230104,20230104,2023,1,164358,A1,桃園市政府警察局,桃園市中壢區崇德二路口 / 桃園市中壢區崇德三路口,晴,日間自然光線,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷2,2,小貨車(含客、貨兩用),自用,男,35,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,左前車頭(身),汽車,前車頭,駕駛人,未依規定減速,否,121.184786,24.996004
20230104,20230104,2023,1,164358,A1,桃園市政府警察局,桃園市中壢區崇德二路口 / 桃園市中壢區崇德三路口,晴,日間自然光線,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡1;受傷2,3,人,行人,男,61,其他(無需使用保護裝備之人),非駕駛人,人的狀態,其他,其他,非汽(機)車,NA,NA,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.184786,24.996004
20230105,20230105,2023,1,063600,A1,新北市政府警察局,新北市五股區新北市五股區中興路2段108號前,晴,日間自然光線,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,未注意車前狀態,死亡1;受傷3,1,小客車,自用,男,39,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,汽車,前車頭,駕駛人,未注意車前狀態,否,121.460179,25.077731
20230105,20230105,2023,1,063600,A1,新北市政府警察局,新北市五股區新北市五股區中興路2段108號前,晴,日間自然光線,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,未注意車前狀態,死亡1;受傷3,2,機車,普通重型,男,49,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,機車,前車頭,無(車輛駕駛人因素),尚未發現肇事因素,否,121.460179,25.077731
20230105,20230105,2023,1,063600,A1,新北市政府警察局,新北市五股區新北市五股區中興路2段108號前,晴,日間自然光線,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,未注意車前狀態,死亡1;受傷3,3,人,乘客,女,30,戴安全帽或繫安全帶(使用幼童安全椅),未使用,人的狀態,其他,其他,非汽(機)車,其他,非汽(機)車,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.460179,25.077731
20230105,20230105,2023,1,063600,A1,新北市政府警察局,新北市五股區新北市五股區中興路2段108號前,晴,日間自然光線,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,未注意車前狀態,死亡1;受傷3,4,人,乘客,女,13,戴安全帽或繫安全帶(使用幼童安全椅),未使用,人的狀態,其他,其他,非汽(機)車,其他,非汽(機)車,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.460179,25.077731
20230105,20230105,2023,1,100500,A1,高雄市政府警察局,高雄市楠梓區清豐路 / 高雄市楠梓區土庫六路,晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷0,1,小客車,自用,女,54,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,右前車頭(身),汽車,右前車頭(身),駕駛人,未依規定讓車,否,120.3307,22.7437
20230105,20230105,2023,1,100500,A1,高雄市政府警察局,高雄市楠梓區清豐路 / 高雄市楠梓區土庫六路,晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡1;受傷0,2,機車,普通重型,男,77,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,左側車身,機車,左側車身,無(車輛駕駛人因素),尚未發現肇事因素,否,120.3307,22.7437
20230105,20230105,2023,1,122100,A1,彰化縣警察局,彰化縣彰化市牛埔里彰興路2段438號前0.0公尺,晴,日間自然光線,市區道路,50,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,駕駛人,疲勞(患病)駕駛失控,死亡1;受傷1,1,小客車,自用,女,41,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,NA,NA,駕駛人,疲勞(患病)駕駛失控,否,120.599993,24.084451
20230105,20230105,2023,1,122100,A1,彰化縣警察局,彰化縣彰化市牛埔里彰興路2段438號前0.0公尺,晴,日間自然光線,市區道路,50,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,駕駛人,疲勞(患病)駕駛失控,死亡1;受傷1,2,機車,普通重型,女,65,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,後車尾,NA,NA,無(車輛駕駛人因素),尚未發現肇事因素,否,120.599993,24.084451
20230105,20230105,2023,1,122100,A1,彰化縣警察局,彰化縣彰化市牛埔里彰興路2段438號前0.0公尺,晴,日間自然光線,市區道路,50,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,駕駛人,疲勞(患病)駕駛失控,死亡1;受傷1,3,小客車,自用,男,35,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,等待(引擎未熄火),汽車,車頂,NA,NA,無(車輛駕駛人因素),尚未發現肇事因素,否,120.599993,24.084451
20230105,20230105,2023,1,153800,A1,臺南市政府警察局,臺南市永康區中正南路794號,晴,日間自然光線,市區道路,50,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,其他,不明原因肇事,死亡1;受傷0,1,機車,普通重型,女,69,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向左變換車道,機車,後車尾,NA,NA,其他,不明原因肇事,否,120.237185,23.041044
20230105,20230105,2023,1,153800,A1,臺南市政府警察局,臺南市永康區中正南路794號,晴,日間自然光線,市區道路,50,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,其他,不明原因肇事,死亡1;受傷0,2,曳引車,營業用,男,63,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),NA,NA,其他,不明原因肇事,否,120.237185,23.041044
20230105,20230105,2023,1,153800,A1,臺南市政府警察局,臺南市永康區中正南路794號,晴,日間自然光線,市區道路,50,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,其他,不明原因肇事,死亡1;受傷0,3,大客車,民營客運,男,50,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,等待(引擎未熄火),其他,不明,NA,NA,其他,不明原因肇事,否,120.237185,23.041044
